,Id,EssaySet,Score1,Score2,EssayText
859,860,1,3,3,"One piece of information i would need is the amount of vinegar to pour into the containers. A second piece is to know samples of what the first step says 4 samples but can they be anything? Lastly, i need to know if it matters where i leave my experiment. I should know if it needs to be in hot or cold temperatures or if it needs sunlight and factors like that."
861,862,1,3,3,"To replicate this experiment, you would need to know, how much vinegar to use in the samples, two, how big the pieces of rocks are,if they are the same or not and think you would need to know more about the containers, do they need a lid to cover evaporation, how large are they. More specific information is need to replicate this experiment from the procedure student here."
867,868,1,3,3,"In order to replicate the experiment there is some information that is needed. The size of the container needs to be determined. also, the procedure just says four different samples, it never says what there needs to be a number for how much vinegar needs to be poured into the containers. Finally it doesn't say how long the sample should be rinced for. If those things are included in the procedure then the experiment could be duplicated."
873,874,1,3,3,"In the students procedure, you would need to include the step for measuring out an exact amount of vinegar and adding that specific amount to the containers and they would need to include the amount of distilled water to rinse with in order to increase the validity. Also, they should specify what type of container to put each sample in, such as a test tube or a beaker. The students should specify what samples to use in step 1 as well, so that when replicated the same samples will be used."
891,892,1,3,3,"To replicate this experiment you would need the following information. You would need the amount of vinegar, the students used, you would need the type of samples they used and would also need the type of containers that were used. Also you would need the starting masses of each of the samples that the students used."
892,893,1,3,3,In order to replicate this experiment you would need to know how much vinegar to use the size of the container the pH of the vinegar and the room temperature
893,894,1,3,3,a The group would have said how much vinegar to add to each sample. ^p b The size of each sample should also be stated because size difference would affect the results of this experiment. ^p c Would need to know what materials to gather.
903,904,1,3,3,"In order to replicate this experiment, one would need to know, first or all ,what each sample is. They would also need to know  how much vinegar to use on the materials.Lastly they would need to know how many samples of each material.The would need and the substance size."
906,907,1,3,3,So additional information you would add in order to replicate the experiment would be what kind of containers
921,922,1,3,3,"Some additional information that would need in order to replicate the experiment is the amount of vinegar you need, the size of the containers used in the experiment. You would also need to know the temperature of which the experiment would be staying at in the 24 hour period."
925,926,1,3,3,After reading the group procedure i have vinegar multiple pieces of information in order to replicate its ^p experiment would need how much vinegar put in each cup how long as they would rock for the temperature of the water and what amount the condition they were around to dry in the.
926,927,1,3,3,"In order to replicate  the acid rain experiment, we must know more than what the group has given us. For example, in step 2 the students don't tell us how much vinegar needs to be poured in each container. They also don't tell us what kind of container and if it matters what it is made out of. In step 1 & 6 the group tells us to determine new mass of the samples. They don't say what we use or how to find the mass of the samples. Another problem is that they don't tell us what the samples are until we see the data table, they should say it in the procedure."
930,931,1,3,3,"In order to replicate the experiment you would need to know how much vinaggar they poured on the three samples, the size of the samples, and the size of the containers. We would have to know all those things if we wanted to do this lab exactly like they did."
934,935,1,3,3,"We would need to know how much vinegar to use in each contaner, also what type of container shold be used and if we're usin pure vineger or if its a solution. Lastly it would be helpful to throw if the containers were left and at room temperature over the 24 hours."
935,936,1,3,3,I would frustred to know where is being tested another word the specif materials which we are taking samples of in addition i would need to know the type of vinegar being since different vinegar have different ph along with the amount of vinegar added to each container these three pieces of information are all reason to replicate the experiment.
939,940,1,3,3,"After reading the groups procedure, I would need to know some additional information to replicate the experiment. First, I would need to know what type of material is being used. Another thing I would need to know is where to keep the material; in sunlight? in darkness outside? I would also need to know how much vinegar to add to each cup."
946,947,1,3,3,"Since the groups procedure is a little vogue, in order to replicate the experiment, you would need to know some additional information. First, you'd need to where to let the sample sit and dry, because that could make a difference. And you would need to know how much vinegar to pour into each container since that mass to be held constant. Finally, you'd need to know what are the 4 different samples to use. You know by looking in the data table, when they don't list items in the procedure."
955,956,1,3,3,"In order to replicate the experiment, I would need to know first what question the students are trying to answer and what the purpose of the lab is. Then, I would need to know what the three samples are. I would also need to know how much vinegar to put in each container and how large a sample of each material to use. The amounts are not specified. Finally, it would be helpful to know if a control should be used and what it should be."
958,959,1,3,3,"After reading the groups procedure, there are some things that may need to be added to be able to replicate the expirement. In the procedure, the students would have to add what the four samples are that are being used to determine the mass. Also, the students used to write down how much vinegar to put into each of the four containers. Last but not the least, the students will have to add what size should all four containers be for the samples."
962,963,1,3,3,The information that the procedure is missing to be able to replicate the experiment is the size of the containers. The size of each sample and how much vinegar did they use. Without these missing information then you can not replicate the experiment.
964,965,1,3,3,I would need a list of materials and know what type of equipment to do this experiment on. I would also need to know the problem to this experiment. I would also need to know how much vinegar to put in to the containers and what size pieces is use to do this experiment.
966,967,1,3,3,"In order to replicate this, I would need to know what the 4 samples this are testing for, so you don't know what to test. Also, around how much of the samples do you need? 100g or 50g or 10g. Also, how much vinegar to pour into each container. They must should be specific. They could have also added what to measure in grams, kg, lo etc. They should have also told what type of area to keep the samples in, Light/dark,warm/cold."
970,971,1,3,3,You would need to know the size of the samples and how much vinegar to use. The size of the containers would also be vital to replicate the experiment.
972,973,1,3,3,In order for me to replicate this experiment you would need to know some additional information. One piece of information you need to know is how much vinegar is poured in each container. You also need  to know what the conditions are made out of. The last piece of information you need to know in order to do this experiment is if there is a top on the container.
974,975,1,3,3,"To replicate the experiment, I would have to know the size of its containers I use. Also I would need to know how much vinegar they poured in. Lastly, what is the sample material thats a major part of the experiment."
976,977,1,3,3,"To replicate the experiment, a person would need to know how much vinegar is added to each sample. They would also need to know what containers they used. A person would also need to know if the containers were covered or not during the experiment."
981,982,1,3,3,"The additional information that I would need in order to replicate the experiment would be what size do the containers have to be, how much vinegar to pour in the containers, how big do the samples have to be, what should the labels say on them, how much water do I use and how long do I rinse for, and how do I measure the mass ?"
983,984,1,3,3,"The group of students didn't specify what ""samples"" they were referring to. Secondly, they didn't include how much vinegar to add to the containers in step 2 nor did they list the size and or volume of said containers. They didn't give instructions on how or what to label the containers in step 3, or how much distilled water one would need to rinse the sample with in step 4. All of these would need to be taken into consideration in order to replicate the experiment."
994,995,1,3,3,"In this procedure, the group should also add information of the exact amount of vinegar used, the measurements of how much of the sample were put into each container, the temperature control of the area you put them in and lose what kind of containers they used. All this information is needed to replicate the experiment."
1005,1006,1,3,3,In order to replicate this experiment you would need to know how much vinegar to pour into they containers the group should also state were to let the samples stir and dry and how big of a container that the under should of seen and into.
1006,1007,1,3,3,We would need to know how much vinegar to pour into each container. It would also be helpful to know the size of the container & size of the sample to use. The process of how to clean the samples specifically as to not effect the mass is lacking information.
1024,1025,1,3,3,I would first need to know what material the samples know and I would need to know how much vinegar. I would also need to know how big each sample should be. Also how big the container would be.
1026,1027,1,3,3,"You need to know the amount of vinegar that you have to pour in the four separate containers. You also need to know what size container you are putting the sample in. Also, you need to know what temperature you leave the samples to sit and dry at for 30 min."
1029,1030,1,3,3,1. What kind of samples ? ^p 2. How much vinegar ? ^p 3. What kind of container ?
1036,1037,1,3,3,"To replicate the experiment you would need several more pieces of information. Firstly the amount of vinegar added would need to be included to try and control additionals for every material. Secondly you would need to know where the containers would be left for 24 hours after pouring vinegar. Different environments could affect the date. Third, you would need to know what type of container to use for the whole experiment. Differences in volume in different containers would also affect the data."
1040,1041,1,3,3,"Additional information you would need in order to replicate the experiment is, in the procedure it needs to be more specific and staff what kinds of samples you are using ( marble, limestone, wood, plastic) Also, it needs to say how much vinegar to pour into each cup, and what kind of cup to use. Also, how long you should rinse each of the samples with the distilled water and lastly, be more specific on how to dry the samples, should you dry it with papertowel and then let it sit for 30 minutes, or just let it sit?"
1042,1043,1,3,3,"The additional information needed would be: the exact amount of vinegar that is poured into each cup. You would  also need to know a specific type of container to put the sample in. Lastly, you may need to know that the samples are marble, limestone, wood and plastic."
1054,1055,1,3,3,"To replicate this experiment, I would need to know what four different samples I am getting, and how to measure the mass. What containers do I put them in? How much vinegar do I put into the containers? Do just let the containers sit out in room temp for 24 hours? Do I cover the containers? How do you measure the ending mass of each sample?"
1055,1056,1,3,3,"To replicate the experiment , you would need to know what samples to test, how much vinegar to put in the containers, and the temperature in which the samples are kept for 24 hours."
1056,1057,1,3,3,In order to replicate group's expirament we would  need to know the amount of vinegar that we put into the containers and we would also need equal amount of each samples. We would also need to know for how long each material is rinsed and the volume of the container.
1066,1067,1,3,3,"After reading the group's procedure, I realised that the additional information you would need in order to replicate the experiment is the name of the four different samples, you need to know the samples are _ limestone, wood marbles + plastic or the person doing the experiment would not know what the samples are. You also need to know how much vinegar you pour in each container and the size of the containers used."
1067,1068,1,3,3,"The first, most dmas piece of information missing from the procedure is the 4 types of samples you need in the expirement. You cannot replicate the expirement without knowing what samples to use. The next piece of information missing is how large the sample should be. You should not have to guess what or appropate size should be. Also, the procedure does not include the amount of vinegar needed to be poured into each container. The amount of vinegar needed is essential information. Also, the procedure does not include how or where the samples should be stored. For example, should they be left covered or not?"
1079,1080,1,3,3,"The first thing is that the students needed to specify their samples in the procedure instead of just being general saying samples. They also need to tell you to find & record the starting mass of each sample. You'd also need to know how much vinegar to pour into the contairs. Finally, they need to say at what temperature they should sit (room temp)."
1082,1083,1,3,3,"The three information missed in that lab is the measure of vinegar, size of the container and also the size of each sample because if one of those are diffrent it's easily affected the final result."
1095,1096,1,3,3,"You would need to know if the vinegar was to cover the whole sample or not, as this would affect the amount of mass lost. You would need to know how long to rinse the sample in distilled water as it could effect your results and difference in mass. You would also might want to consider how big of a piece of sample to use."
1098,1099,1,3,3,"In order to replicate this experiment you need to know the mass for each sample if it's the same or not, you also need to know the amount of vinegar and the size of the containers. The given procedure doesn't tell the location so you need to know the location of the containers."
1102,1103,1,3,3,"In order to this experiment to be replicated, I would need to know how many or what size samples I should be weighing, how much vinegar needs to be poured, what to label each container, and how long I need to rinse each sample. Only if I know these specific details will I then be able to complete the experiment like the other group."
1109,1110,1,3,3,Additional information that would be how much vinegar would you need to pour into the containers at the beginning of the procedure. Also what type of containers should you put the samples in? How big should they be. Another thing would have to be how big all of the samples need to be so the results come out right.
1115,1116,1,3,3,"The procedure for the acid rain lab should include several pieces of information that were overlooked. First, there was no specification regarding the samples, the students did not include information as to the general category of materials tested. Let done specify which suitably materials were used: Marble , limestone, wood and plastic. They also failed to determine the temperature the sample were stared at, As well as' the concentration of the vinegar with important  measurements that can pontentially affect data."
1116,1117,1,3,3,I would need to know how much vinegar  they used. How big the materials were that they used what kind of containers they were using.
1122,1123,1,3,3,"To replicate this experiment, I will need to know the size of the containers in which I should pour the vinegar, the amount of vineger and the size of the 4 materials."
1127,1128,1,3,3,"In order to replicate the experiment, I need to know how much vinegar I should put into the four seperate containers. I would also need to know what temperature. I should place the containers while they sit for 24 hours. I would need to know where I should place the containers too, for example, in light, in dark place, or have it exposed to sunlight."
1131,1132,1,3,3,In order to run this experiment I would need to know what samples are being tested. I would also need to know how much vinegar to pour into each solution. I would also need to know what size the container should be that I'm pouring the solutions into.
1132,1133,1,3,3,"What are the four different samples? There is no control so how do you know what water is. How much vinegar do you need to put into the containers, how big does the sample need to be."
1134,1135,1,3,3,There are several pieces of information that needs to be added in order to replicate
1140,1141,1,3,3,In order to complete this experiment I would need to have
1145,1146,1,3,3,"You would need to know how much vinegar was put in to each sample, find the size and shape of the container so the same amount of vinegar was actually covering the sample. You would need to know the shape or volume of sample because the surface are has to be the same so the same amount is affected by the vinegar."
1147,1148,1,3,3,"The replicability isn't very good because there are rather vague directions one improvement would be to measure ad how many milliliters of vinegar would be poured into each container so the amount of vinegar can be a controlled  variable, like 100ml per container. Also, the procedure needs to state the temperature at which the containers at for 24 hours at, so the repelilicn can have the same temperature. Also, there should be a certain amount of time to rinse the samples with distilled water, such as 10 seconds each so the samples have been equally rinsed."
1153,1154,1,3,3,"You also need to know how much vinegar to pour into each separate container, what types of container to use, and how long to rinse the samples with distilled water in order to replicate the experiment."
1155,1156,1,3,3,"I would need to know the certain type of 4 samples I would need to use to complete the experiment. I would need to know how much vinegar to pour in each container so I would have unreasonable results. I would also need to know what type of containers to use in order to complete this experiment, whether it it is big, medium or small. It would also help to show the problem so I would understand what I am trying to investigate."
1160,1161,1,3,3,"In order to replicate the group's experiment I would have to know more information. For example, it says to put vinegar, but it doesn't say the measurement of how much would be needed. It would also have to say what type and what size container to put the vinegar in. Lastly, the procedure would also have to say what types of samples they would be placing inside the container with vinegar."
1167,1168,1,3,3,"The first thing I would add to the experiment is that the vinegar should be measured the same amount for all 4. Also, the procedure should saw what the ""4 different samples"" are ( marble, limestone, wood,plastic). Also, after placing the samples into containers, I believe the containers should be placed in the same location temperature as the others."
1177,1178,1,3,3,"In order to replicate the experiment you would need to have to add some steps. A few steps that were missing would be the amount of vinegar poured in each cup, how long to rinse the distilled water and also where to let these samples dry off at."
1180,1181,1,3,3,"Some other information you  would need in order to replicate the experiment is how much vinegar you would put in each container, how big should the sample be in question 3, and how much water do you rinse it with in question4 , also  the students can describe or tell you what kind of containers to use like a dealer or a test tube."
1189,1190,1,3,3,"We would need to know how much vinegar the students used in the experiment. We would also need to know what kind of container they used. These two bits of information are important to know so that we can make sure that the replication samples were covered with vinegar the same as the original. We would also need to know the dimensions of the samples because a change in surface area would greatly alter the experiment (for if an object has a higher surface area to volume ratio, it will dissolve more quickly than a sample with a lower ratio). Lastly, we need to know the concentration of the vinegar."
1190,1191,1,3,3,"In order to replicate the experiment I would need to know how much of the sample is put in,also how much vinegar to pour in. I would also need to know what  I am measuring the mass in,grams,etc. If I had the names of the samples then it would be easy to replicate the experiment. They also need say where to place the samples,a counter,in the sun,in the closet,they say nothing. Also the biggest of all what am I taking this for?"
1193,1194,1,3,3,I would need to know how much vine
1196,1197,1,3,3,It is important to know how much vinegar to put in each container. It is also important to know how long to rinse them with distilled water or how much water should be used. The group should also write in their procedure whether or not they should cover the containers once they have the stone and vinegar in.
1202,1203,1,3,3,You need to know the amount of vinegars you poured. The size of the containers you are using. and all samples must be put in the same areas. Because the temperature and sunlight's does changes the result.
1204,1205,1,3,3,The first thing neccassary to replicate this experiment would be the amount of vinegar poured into each contain. The second thing neccasary would be how long we rinse of each sample with D water. The third thing we would have to know would be the volume of the containers.
1205,1206,1,3,3,"In order to replicate this experiment, I would need to know how much vinegar to pour in each container. Also, I would need to know what samples I am using. I would need to know what size or shape of container to use. Finally, I would need to know exactly how each samples is to be put in and removed from the container."
1210,1211,1,3,3,"One additional piece of information you would need to replicate the groups procedure would be the type of vinegar they were using, this is key reguarding the reactions of tha samples solidify and structure. Another piece of information I would need would be hoe much vinegar to pour in each cup. Lastly, I would need to know would be the temperature at which to start the samples while emerged in vinegar."
1226,1227,1,3,3,"In order to replicate the experiment, we would need to know how much vinegar we add in each sample we testing, 5 lbs, 2 oz etc. Also, we need to know if the containers must be covered or left open. Also, what conditions should they be left in for the 24 hours ? Darkness ? Light ? Both ? This is what we must know to replicate this experiment."
1238,1239,1,3,3,"In this experiment, many things were not mentioned in the procedure that was crucial in order to replicate it, first was that the names of the sample were not given, so we don't know what to take the mass of. Second was that it didn't tell how much vinegar to pour into the container in the beginng of the procedure. Lastly, we would need to know where to put the sample containers for the 24-hour time period. Other than this, the experiment was written decently."
1247,1248,1,3,3,"They would need to include is a question of what they are trying to solve. Also they need to include what the four samples are in the procedure and how big they are. Another major thing they forgot to mention is what the climate of were the containers are sitting for the twenty four hours, are they all in the same spot as in dark or light. Thease are some key things that need to be included."
1251,1252,1,3,3,"Some additional information you would need to replicate the experiment is the amount of vinegar needed for step 2, what size  you need to make the samples key and what kind of container you need to put the samples in."
1265,1266,1,3,3,"Additional information that I need in order to replicate the experiment, is how much vinegar should be poured in the containers. And if it should be the same amount in all. More information needed is the amount time that the samples should be rinsed with distilled water. Lastly, information also needed is where to put the samples for the 24 hours. It doesn't say if the samples were put in different locations."
1272,1273,1,3,3,"After I read the groups procedure, I determined that you need to know how much vinegar to pour in the contain in step 2. Another piece of information you need is what type of vinigar you need. The last piece of information you need is what size container should you use."
1275,1276,1,3,3,"How long the samples, how much the vinegar, at how big should containers be."
1284,1285,1,3,3,"In order to replicat the expirement, the procedure must tell us what materials they use for ""samples"", they must tell us how much vinegar they used in the four containers, they must tell us what to measure the mass of each sample in, and how long you rinse each sample in the distilled water."
1288,1289,1,3,3,"To replicate the experiment, one would need to know how much  vinegar was used.It would also be helpful to know what concentration of vinegar was used. To replicate the experiment, one must know what the samples were in the procedure and the containers they were put in."
1291,1292,1,3,3,"In order to replicate this experiment, we should be told the amount of vinegar in m/ls and tell what the container is made of and define if there needs to be a constant temperature in the 24 hours of it trying in an incubator."
1292,1293,1,3,3,"To replicate the group experiment you would need to know what size container the group used to hold the samples. You would also need to know how long to rinse the samples. You would also  want to know how they dried the material, if you want to get the same data."
1305,1306,1,3,3,"In order to replicate the experiment, you would need to know the amount of vinegar that was poured into the containers. You would also need to know the conditions of the space where the samples were set to dry in, if there was more water vapor in the air and if the samples even dried completly, you would also need to know the density of each sample and if the sample was completly submerged or if it was floating on top."
1312,1313,1,3,3,"Additional information that i would need in order to replicate this design is the four different samples. I would need to know the samples used to replicate this exeperiment. Also, I would need to know how much vinegar needs to be added to each stare, should it be submerged or not. Also, i would need to know does tempereture play a key factor, what is the temperature. Lastly, I would want to know the acidity of the acid(aka)vinegar."
1322,1323,1,3,3,"In order to replicate this experiment you would need additional information. You would need to know materials,the 4 different samples are,how much vinegar was used,wether or not the material should be completely submerged in the vinegar. Without this information our data could be different."
1328,1329,1,3,3,To repeat the students experiment you would need to know additionaly to the procedure
1348,1349,1,3,3,"In order to replicate the groups experiment you would need to know how much vinegar to add each sample. Also you need to know what kind of container plastic, metal,paper this matter depending on how much vinegar would keep out of. Also the mass of the sample all need to be the same different mater make different conclusions due to surface area and such."
1355,1356,1,3,3,"Initially, in order to do this expirament one would need to know which individual samples to use and what kind of samples to use. The students should have included the amount of vinegar to pour into each container so the investigation would be consistant in order for the expirament to be accurately reproduced. The students  should have included the type and size of the container, the apparatis used to measure the mass of each sample and included a list of materials for future investigations"
1362,1363,1,3,3,Other information
1366,1367,1,3,3,"First you need to know how much vinegar they used in each samples cup. Secondly the amount of each substance should be the same. Next, what kind of container are they placing this substances up out with a lid or lid toowide?"
1367,1368,1,3,3,"Additional information I would need in order to replicate this experiment would include knowing the amount of vinegar that needs to be poured into the containers. I would also need to know what type of containers are being used and where to put these containers during the 24 hour waiting period. Finally, I would need to know the control of this experiment in order to replicate it."
1373,1374,1,3,3,The procedure is missing some critical info. First of all the group does not say what the samples are so to remake the lab. I would not know what I needed to get even though it shows it in the table they should have it in the procedure. Also the group does not give details on how much vinegar to put in the containers. Finally the group did not say the size of the container.
1374,1375,1,3,3,One piece of information that would be necessary if replicating this experiment is how much vinegar was used. You would also need to know how much of each sample you would place in the cup. You might also want to know what size cup was used so that the person conducting the experiment could do if exactly the same. On other piece of information that would be helpful is knowing how long for use the saying so that each sample is getting the same amount of H.O applied.
1376,1377,1,3,3,"There are several things this group should have included, in their procedure. They did not specify what type of container or how large. They did not say what type of vinegar or how much to pour into the container. They did not say what to do with the container when you finish. They did not specify how  they determined the mass."
1385,1386,1,3,3,"In order to replicate this experiment thoroughly, one would need to know the approximate size of each sample, as a 10 inch block of wood and a 10cm block would react differently. Also, are would need to know how how much  vinegar to put in each cap and what the conditions of the room were when you leave the samples for 24 hours."
1404,1405,1,3,3,I would need to know what were the four different samples. How much vinegar to pour into the four separate contains. Also what to label the containers and should I leave the container at room temperature or put it somewhere else for the whole 24 hours.
1405,1406,1,3,3,"To replicate this procedure you would need to know how much vinegar to put in each container. It would also be useful to know if the temperature of the room should be. Lastly, they should tell you what size of each sample you should be taking. If they do not add in these things the experiment may have a different result when done by someone else."
1412,1413,1,3,3,If someone is going to repeat this lab the procedure should include that type of materials are used.If being repeated the person doing it might not use the same materials.Also the amount of vinegar used in each container should be in there.They should also specify that types of containers are used.Maybe restain types affect the experiment and some don't and they should then made note of that
1413,1414,1,3,3,In order to replace the experiment yal would need additional information including four different samples of what specific material. Moreover yal would need to know the temperature at which the samples were kept. Lastly how much vinegar is reacted for each indivual sample.
1414,1415,1,3,3,"The group of students needs to add how big or small the containers should be. Another item that the students did not add was how much vinegar goes in each container. The group also forgot to mention what samples they are using. Without these 3 main information points, nobody could replicate this lab."
1417,1418,1,3,3,"Additional information needed to replicate the experiment would be how much vinegar was added to each of the four separate containers. Also you might say how long to rinse the samples under distilled water for. Finally, the students should also state where to place each cup during the experiment and to dry. You need to know whether it should be in a cold, wet environment or maybe warm & dry."
1418,1419,1,3,3,"In order to replicate the experiment, procedure should include the names of the four different samples, the amount of vinegar that should be poured in each cup, and the size of the four identical containers."
1424,1425,1,3,3,"After reading the procedure some things are still unclear. They should say what 4 samples are being tested, not just ''mass 4 samples''. Also, how much vinegar should we pour, and in what sort of container? What should we lable the 4 containers as ? How should the samples be removed from the container ? And as always, what are the materials we need, and our there any important things to note regarding lab safety."
1431,1432,1,3,3,In order to replicate the experiment I would need to know specifically what materials to start with and the amount of vinegar that I should pour into the four cups. I would also need to know where to store the cups. It would be helpful to know what technique that they used to rinse each sample as well. Much more information is needed in order to accurately replicate this experiment.
1432,1433,1,3,3,In able to replicate this procedure 3 steps must be added: ^p 1) What are the samples. ^p 2) How much vinegar is poured into the 4 containers. ^p 3) What unit of measurement is used to measure it mass. ^p 4) What kind of containers were used.
1441,1442,1,3,3,Additional information needed to replicate this experiment would include: ^p - What kind of four samples are being used. ^p - How much vinegar to pour into the containers. ^p - What kind of containers are being used. ^p - How to to remove the samples and place them into containers. ^p - What to label each of the separate containers.
1443,1444,1,3,3,"To replicate their experiment there are three pieces of information missing. How much vinegar they used, how big the containers were and what they were made of and what samples they used. If they added those things in the procedure you would be able to replicate their experiment."
1450,1451,1,3,3,To replicate this experiment you would need to know how many mls of vinegar to use. You would also need to know how much distilled water to rinse the samples with. To replicate this experiment you would need to know what type of containers to use to put the samples in. The type of samples also needs to be stated in the procedure not only in the results.
1456,1457,1,3,3,The additional information needed would be theamant of vinegar that goes into each container. Youwillalso need to know where yare supposed to leave the samples. They should also include if the samples should be covered or not and include where to dry the samples.
1457,1458,1,3,3,"To replicate this experiment i would need to know how much vinegar to use, how big of a sample to use and how long to rinse each sample. Without these you cannot replicate the experiment."
1465,1466,1,3,3,In order to replicate this as the groups procedure would need to include what the four items they are testing and the group would also need to include the volume of vinegar which the four samples were added to. One last thing that would need to be specified is the concertation of the vinegar. If when the experiment is replicated and a different concentration of vinegar is used different results mass occuree.
1469,1470,1,3,3,"The students should have included information about what the 'samples' were, what type of vinegar to use and how much vinegar to use."
1473,1474,1,3,3,"To replicate these students experiment you would have to know what the samples are of that you're using. You would also have to know where you're leaving these  containers. And lastly, to replicate this experiment you may need to know the type of container you're putting these in, that and / or the size of the original sample."
1475,1476,1,3,3,To repeat this lab I would need to know what kind of vinegar they used. How much vinegar they used and if the containers was covered or not.
1479,1480,1,3,3,"One thing you would need to know is what use of containers  you need. In step 2 they do not say the size of the container, they just said you need them. Also in step one it just says to determine the mass of four different samples that is very unclear because it does not tell you what samples to measure. Als in step two it does not tell you the amount of vinager to pour into the containers."
1491,1492,1,3,3,"In order to replicate th experiment the students will need to add 5 things. What type of woods, plastic, limestone and marble so for example th wood thy use is hard than the wood you use. How much vinegar needs to be poured in it enough to cover it or not. Also what siz container. Another thing to change how long is each sample rinsed for so some don't absorb more or less water. And finally what temperature does th samples dry at because in higher or lower temperatures or humid environments th samples may dry at a different speed."
1497,1498,1,3,3,"In order to replicate the experiment, I would need to know how much vinegar was poured into the containers, and I'd also need to know what the volume of the separate but identical, containers were I would also need to know how much water (distilled) was used to rinse off the samples, and for how long did the students rinse the samples, I may also need to know with what in statement the samples were massed in order to replicate the experiment."
1499,1500,1,3,3,"After reading this groups experiment I have found that to do this experiment over again I would need additional information  additional information would need would include what kind of container do I put the materials in,what size container was used to put the materials in ' what surface or what do I are the materials with, and how much vinegar  would I put in the If separate containers, I would  need all this information to perform of this experiment."
1512,1513,1,3,3,"What the samples are, how much vinegar should be added to each container, where the samples are contained for the 24 hr waiting period."
1516,1517,1,3,3,To repeat the experiment I would have to know much vinegar I am pouring into containers. I need to  know room temperature or temperature to see p it affects it also how long do we rinse the sample for is it in to get all the stuff off or just get it a little wet.
1518,1519,1,3,3,"The procedure given doesn't have enough information so that someone could replicate it. What else is needed is to state the different samples needed. It also needs to identify how much vinegar goes into each container for the samples. Lastly, we need to know what kind of containers (how big) each of them are."
1519,1520,1,3,3,You would need the specific amount of vinegar used for the experiment to replicate it. You would also need to know what the specific samples were and the volume of the containers so that the experiment sould be replicated.
1524,1525,1,3,3,"I would include what the samples are (wood, marble etc) and would label the containers that way. I would include the brand of vinegar or kind of vinegar used. I would also include at what temperatures the samples were kept at."
1527,1528,1,3,3,"First, you would need to know what materials to use as samples. Second, you would need to know how much vinegar to put in each container. Lastly, you would need to know what conditions to keep the containers at."
1533,1534,1,3,3,"Some additional information you would need to replicate this experiment would be how much vinegar should be put in each container. If not specified, someone may put too little  or too much, and the results can come out very differently. You would also need to know how much of each sample you need to put in the containers and you need to know how long to rinse each sample and where the samples should dry."
1534,1535,1,3,3,"If I wanted to replicate the experiment I would need to know what kind of containers to use, I would need to know if I should cover the samples in the containers I would also need to know what the samples are. How am I suppose to know what I am tasting if I don't know what the samples are."
1535,1536,1,3,3,"Additional information that would be needed. We need to know how much vinegar to putt in each sample, what temperature to keep sample at, and how long to rinse the samples for."
1550,1551,1,3,3,"The group neglected to include what the ""four different samples"" are. They should have said, ""use a scale to determine the individual mass (g) of four different samples of material; marble, limestone, wood and plastic"". They also were too vague in describing putting vinegar in containers. They should have included how much (ml) vinegar should be poured into each container, what containers are made of. They also never included how large in size the samples should be and did not make a control in the experiment to compare the end results to. They also never listed the materials that needed to be used."
1559,1560,1,3,3,"To repeat the experiment you waid first have to know how much vinegar to pour into each of the containers. You would also need to know the amount of each sample that was measured to get their masses. You waid also need to know if you should cover the samples and at what temperature they should be left to sit in for 24hrs. Also, what would you do with the samples once you removed them from the containers, where would they sit?"
1564,1565,1,3,3,"To replicate the acid rain experiment you would need to know what size container to use,you would also need to know what the four different samples were. Lastly, you would need to know how long to note samples for."
1565,1566,1,3,3,"After reading this groups procedure, there are four different pieces of information I would need to replicate this exact experiment. One, the group must include what the 4 samples are, anyone reading this procedure would not know what the experiment was testing. Two, you must include the amount of vinegar being poured into each separate container. Thirdly, they must include under what conditions should the samples be left for the 24 hours. Lastly, I would need to know what types of containers these samples should be placed in, should they be put in plastic or glass or even open or closed containers?"
1569,1570,1,3,3,In order to figure out how to replicate this I would need to know the containers size. Also I would need to know how much vinegar to put in. I would need to know how long to wash with water for.
1572,1573,1,3,3,"After reading the procedure in order to replicate the experiment, you would need to know how much of each sample  there  was. Also, you would need to know what kind of vinegar they're  using, as well as how much to pour into the container. You  might also need to know how long to rinse each sample and if it was with warm or cold water."
1579,1580,1,3,3,"The groups prosedure could  use, they could add to find the diffrence in mass at the end. Also list the type of meteral they roused. And they should tell you how much and what kind of vinegar they foused."
1580,1581,1,3,3,1)You will need to know the temperature of which to keep the samples at. ^p 2)The surface are in each of the samples exposed to the vinegar. ^p 3)How much vinegar to put the samples in.
1586,1587,1,3,3,"The additional information that I would need is how much vinegar do you put in the containers, what are the four samples to put something over the containers, and what are steps of the samples."
1590,1591,1,3,3,"The additional information you would need in order to replicate the experiment would be first, naming the four different samples given to you. Secondly, you would need the amount of vinegar needed to pour into the containers and what kind of containers. Thirdly, you would need to know how you would determine the mass (example, with an electric balance). The students need to be more specific on their materials."
1600,1601,1,3,3,"First things i would need to know would be how much vinegar to pour into each containers. Another thing that may or may not be a determining factor in this experiment would be the each temperature and the temperature of the vinegar. Lastly, i would need to know which samples increased because i could have different samples than them."
1616,1617,1,3,3,"You would have to know how much vinegar to put into the containers. You would also have to know what environment  to put the cups in, in the sun would cause different effects than inside or in a shady area. ^p Lastly, you would have to know what you put then to and leave them on a paper towel inside, or on a table, etc."
1618,1619,1,3,3,1.How much vinegar & how big a container? (Were the samples completely covered?) ^p 2.What temperature did the samples sit at? ^p 3.Rinse samples how long or until what desired effect ?
